      YEAR,MONTH          ,CATEGORY                                                    ,CANCEL_COUNT,CANCEL_TOTAL,CANCEL_PERCENTAGE
      2017,NOVEMBER       ,Mechanical                                                  ,          68,         179,               38
      2017,NOVEMBER       ,Unpreventable                                               ,          17,         179,              9.5
      2017,OCTOBER        ,Carryover/Other                                             ,           7,         278,              2.5
      2017,OCTOBER        ,Crew/Engineer Availability                                  ,         129,         278,             46.4
      2017,OCTOBER        ,Equipment Availability                                      ,           8,         278,              2.9
      2017,OCTOBER        ,Human Factor                                                ,          11,         278,                4
      2017,OCTOBER        ,Mechanical                                                  ,          34,         278,             12.2
      2017,OCTOBER        ,Unpreventable                                               ,          89,         278,               32
      2017,SEPTEMBER      ,AMTRAK                                                      ,          29,         266,             10.9
      2017,SEPTEMBER      ,Carryover/Other                                             ,          20,         266,              7.5
      2017,SEPTEMBER      ,Crew/Engineer Availability                                  ,          59,         266,             22.2
      2017,SEPTEMBER      ,Equipment Availability                                      ,           3,         266,              1.1
      2017,SEPTEMBER      ,Human Factor                                                ,           9,         266,              3.4
      2017,SEPTEMBER      ,Infrastructure Engineering                                  ,           5,         266,              1.9
      2017,SEPTEMBER      ,Mechanical                                                  ,          43,         266,             16.2
      2017,SEPTEMBER      ,Other Railroads                                             ,          14,         266,              5.3
      2017,SEPTEMBER      ,Unpreventable                                               ,          84,         266,             31.6
      2018,APRIL          ,AMTRAK                                                      ,          36,         322,             11.2
      2018,APRIL          ,Carryover/Other                                             ,           8,         322,              2.5
      2018,APRIL          ,Crew/Engineer Availability                                  ,         139,         322,             43.2
      2018,APRIL          ,Equipment Availability                                      ,          14,         322,              4.3
      2018,APRIL          ,Human Factor                                                ,          17,         322,              5.3
      2018,APRIL          ,Infrastructure Engineering                                  ,           4,         322,              1.2
      2018,APRIL          ,Mechanical                                                  ,          50,         322,             15.5
      2018,APRIL          ,Other                                                       ,           1,         322,               .3
      2018,APRIL          ,Unpreventable                                               ,          53,         322,             16.5
      2018,AUGUST         ,AMTRAK                                                      ,          13,         631,              2.1
      2018,AUGUST         ,Carryover/Other                                             ,           2,         631,               .3
      2018,AUGUST         ,Crew/Engineer Availability                                  ,         247,         631,             39.1
      2018,AUGUST         ,Equipment Availability                                      ,         190,         631,             30.1
      2018,AUGUST         ,Human Factor                                                ,          13,         631,              2.1
      2018,AUGUST         ,Infrastructure Engineering                                  ,           8,         631,              1.3
      2018,AUGUST         ,Mechanical                                                  ,          66,         631,             10.5
      2018,AUGUST         ,Other                                                       ,           2,         631,               .3
      2018,AUGUST         ,Other Railroads                                             ,          14,         631,              2.2
      2018,AUGUST         ,Technologies                                                ,           5,         631,               .8
      2018,AUGUST         ,Unpreventable                                               ,          71,         631,             11.3
      2018,DECEMBER       ,AMTRAK                                                      ,           1,         434,               .2
      2018,DECEMBER       ,Carryover/Other                                             ,           2,         434,               .5
      2018,DECEMBER       ,Crew/Engineer Availability                                  ,          66,         434,             15.2
      2018,DECEMBER       ,Equipment Availability                                      ,         248,         434,             57.1
      2018,DECEMBER       ,Human Factor                                                ,           4,         434,               .9
      2018,DECEMBER       ,Infrastructure Engineering                                  ,           7,         434,              1.6
      2018,DECEMBER       ,Mechanical                                                  ,          75,         434,             17.3
      2018,DECEMBER       ,Other Railroads                                             ,           2,         434,               .5
      2018,DECEMBER       ,Technologies                                                ,           9,         434,              2.1
      2018,DECEMBER       ,Unpreventable                                               ,          20,         434,              4.6
      2018,FEBRUARY       ,AMTRAK                                                      ,          32,         181,             17.7
      2018,FEBRUARY       ,Carryover/Other                                             ,           2,         181,              1.1
      2018,FEBRUARY       ,Crew/Engineer Availability                                  ,          37,         181,             20.4
      2018,FEBRUARY       ,Equipment Availability                                      ,           9,         181,                5
      2018,FEBRUARY       ,Human Factor                                                ,          13,         181,              7.2
      2018,FEBRUARY       ,Mechanical                                                  ,          57,         181,             31.5
      2018,FEBRUARY       ,Other                                                       ,           1,         181,               .6
      2018,FEBRUARY       ,Other Railroads                                             ,           8,         181,              4.4
      2018,FEBRUARY       ,Unpreventable                                               ,          22,         181,             12.2
      2018,JANUARY        ,AMTRAK                                                      ,          74,         384,             19.3
      2018,JANUARY        ,Carryover/Other                                             ,           3,         384,               .8
      2018,JANUARY        ,Crew/Engineer Availability                                  ,          36,         384,              9.4
      2018,JANUARY        ,Equipment Availability                                      ,         147,         384,             38.3
      2018,JANUARY        ,Human Factor                                                ,           8,         384,              2.1
      2018,JANUARY        ,Infrastructure Engineering                                  ,           9,         384,              2.3
      2018,JANUARY        ,Mechanical                                                  ,          67,         384,             17.4
      2018,JANUARY        ,Other Railroads                                             ,           7,         384,              1.8
      2018,JANUARY        ,Unpreventable                                               ,          33,         384,              8.6
      2018,JULY           ,AMTRAK                                                      ,           9,         352,              2.6
      2018,JULY           ,Carryover/Other                                             ,           1,         352,               .3
      2018,JULY           ,Crew/Engineer Availability                                  ,         160,         352,             45.5
      2018,JULY           ,Equipment Availability                                      ,          65,         352,             18.5
      2018,JULY           ,Human Factor                                                ,          23,         352,              6.5
      2018,JULY           ,Infrastructure Engineering                                  ,           6,         352,              1.7
      2018,JULY           ,Mechanical                                                  ,          53,         352,             15.1
      2018,JULY           ,Other                                                       ,           4,         352,              1.1
      2018,JULY           ,Other Railroads                                             ,           7,         352,                2
      2018,JULY           ,Unpreventable                                               ,          24,         352,              6.8
      2018,JUNE           ,AMTRAK                                                      ,          11,         291,              3.8
      2018,JUNE           ,Carryover/Other                                             ,           1,         291,               .3
      2018,JUNE           ,Crew/Engineer Availability                                  ,         165,         291,             56.7
      2018,JUNE           ,Equipment Availability                                      ,          10,         291,              3.4
      2018,JUNE           ,Human Factor                                                ,           6,         291,              2.1
      2018,JUNE           ,Infrastructure Engineering                                  ,           5,         291,              1.7
      2018,JUNE           ,Mechanical                                                  ,          63,         291,             21.6
      2018,JUNE           ,Other Railroads                                             ,          15,         291,              5.2
      2018,JUNE           ,Unpreventable                                               ,          15,         291,              5.2
      2018,MARCH          ,AMTRAK                                                      ,         268,         963,             27.8
      2018,MARCH          ,Carryover/Other                                             ,           7,         963,               .7
      2018,MARCH          ,Crew/Engineer Availability                                  ,          72,         963,              7.5
      2018,MARCH          ,Equipment Availability                                      ,           2,         963,               .2
      2018,MARCH          ,Human Factor                                                ,          20,         963,              2.1
      2018,MARCH          ,Infrastructure Engineering                                  ,           1,         963,               .1
      2018,MARCH          ,Mechanical                                                  ,          52,         963,              5.4
      2018,MARCH          ,Other Railroads                                             ,          86,         963,              8.9
      2018,MARCH          ,Unpreventable                                               ,         455,         963,             47.2
      2018,MAY            ,AMTRAK                                                      ,          25,         306,              8.2
      2018,MAY            ,Carryover/Other                                             ,           4,         306,              1.3
      2018,MAY            ,Crew/Engineer Availability                                  ,          91,         306,             29.7
      2018,MAY            ,Equipment Availability                                      ,          13,         306,              4.2
      2018,MAY            ,Human Factor                                                ,          13,         306,              4.2
      2018,MAY            ,Infrastructure Engineering                                  ,          30,         306,              9.8
      2018,MAY            ,Mechanical                                                  ,          52,         306,               17
      2018,MAY            ,Other Railroads                                             ,          14,         306,              4.6
      2018,MAY            ,Unpreventable                                               ,          64,         306,             20.9
      2018,NOVEMBER       ,AMTRAK                                                      ,          91,         546,             16.7
      2018,NOVEMBER       ,Carryover/Other                                             ,           5,         546,               .9
      2018,NOVEMBER       ,Crew/Engineer Availability                                  ,          16,         546,              2.9
      2018,NOVEMBER       ,Equipment Availability                                      ,         101,         546,             18.5
      2018,NOVEMBER       ,Human Factor                                                ,          24,         546,              4.4
      2018,NOVEMBER       ,Infrastructure Engineering                                  ,          23,         546,              4.2
      2018,NOVEMBER       ,Mechanical                                                  ,          62,         546,             11.4
      2018,NOVEMBER       ,Other Railroads                                             ,           3,         546,               .5
      2018,NOVEMBER       ,Technologies                                                ,           5,         546,               .9
      2018,NOVEMBER       ,Unpreventable                                               ,         216,         546,             39.6
      2018,OCTOBER        ,AMTRAK                                                      ,          27,         364,              7.4
      2018,OCTOBER        ,Carryover/Other                                             ,           7,         364,              1.9
      2018,OCTOBER        ,Crew/Engineer Availability                                  ,          85,         364,             23.4
      2018,OCTOBER        ,Equipment Availability                                      ,          62,         364,               17
      2018,OCTOBER        ,Human Factor                                                ,          12,         364,              3.3
      2018,OCTOBER        ,Infrastructure Engineering                                  ,           3,         364,               .8
      2018,OCTOBER        ,Mechanical                                                  ,          70,         364,             19.2
      2018,OCTOBER        ,Other                                                       ,          54,         364,             14.8
      2018,OCTOBER        ,Technologies                                                ,           6,         364,              1.6
      2018,OCTOBER        ,Unpreventable                                               ,          38,         364,             10.4
      2018,SEPTEMBER      ,AMTRAK                                                      ,          46,         370,             12.4
      2018,SEPTEMBER      ,Carryover/Other                                             ,           2,         370,               .5
      2018,SEPTEMBER      ,Crew/Engineer Availability                                  ,         116,         370,             31.4
      2018,SEPTEMBER      ,Equipment Availability                                      ,          85,         370,               23
      2018,SEPTEMBER      ,Human Factor                                                ,          28,         370,              7.6
      2018,SEPTEMBER      ,Infrastructure Engineering                                  ,           1,         370,               .3
      2018,SEPTEMBER      ,Mechanical                                                  ,          57,         370,             15.4
      2018,SEPTEMBER      ,Other Railroads                                             ,           5,         370,              1.4
      2018,SEPTEMBER      ,Technologies                                                ,           1,         370,               .3
      2018,SEPTEMBER      ,Unpreventable                                               ,          29,         370,              7.8
      2019,APRIL          ,AMTRAK                                                      ,           4,         183,              2.2
      2019,APRIL          ,Carryover/Other                                             ,           1,         183,               .5
      2019,APRIL          ,Crew/Engineer Availability                                  ,          53,         183,               29
      2019,APRIL          ,Equipment Availability                                      ,           4,         183,              2.2
      2019,APRIL          ,Human Factor                                                ,           9,         183,              4.9
      2019,APRIL          ,Infrastructure Engineering                                  ,           1,         183,               .5
      2019,APRIL          ,Mechanical                                                  ,          37,         183,             20.2
      2019,APRIL          ,Technologies                                                ,           4,         183,              2.2
      2019,APRIL          ,Unpreventable                                               ,          70,         183,             38.3
      2019,AUGUST         ,AMTRAK                                                      ,           3,         251,              1.2
      2019,AUGUST         ,Crew/Engineer Availability                                  ,         133,         251,               53
      2019,AUGUST         ,Equipment Availability                                      ,          18,         251,              7.2
      2019,AUGUST         ,Human Factor                                                ,          10,         251,                4
      2019,AUGUST         ,Mechanical                                                  ,          41,         251,             16.3
      2019,AUGUST         ,Other Railroads                                             ,           1,         251,               .4
      2019,AUGUST         ,Technologies                                                ,           7,         251,              2.8
      2019,AUGUST         ,Unpreventable                                               ,          38,         251,             15.1
      2019,DECEMBER       ,Crew/Engineer Availability                                  ,         166,         315,             52.7
      2019,DECEMBER       ,Equipment Availability                                      ,           7,         315,              2.2
      2019,DECEMBER       ,Human Factor                                                ,          12,         315,              3.8
      2019,DECEMBER       ,Infrastructure Engineering                                  ,           4,         315,              1.3
      2019,DECEMBER       ,Mechanical                                                  ,          48,         315,             15.2
      2019,DECEMBER       ,Other Railroads                                             ,           4,         315,              1.3
      2019,DECEMBER       ,Technologies                                                ,          11,         315,              3.5
      2019,DECEMBER       ,Unpreventable                                               ,          63,         315,               20
      2019,FEBRUARY       ,AMTRAK                                                      ,          16,         356,              4.5
      2019,FEBRUARY       ,Carryover/Other                                             ,          93,         356,             26.1
      2019,FEBRUARY       ,Crew/Engineer Availability                                  ,          62,         356,             17.4
      2019,FEBRUARY       ,Equipment Availability                                      ,          19,         356,              5.3
      2019,FEBRUARY       ,Human Factor                                                ,           7,         356,                2
      2019,FEBRUARY       ,Infrastructure Engineering                                  ,          29,         356,              8.1
      2019,FEBRUARY       ,Mechanical                                                  ,          60,         356,             16.9
      2019,FEBRUARY       ,Technologies                                                ,          11,         356,              3.1
      2019,FEBRUARY       ,Unpreventable                                               ,          59,         356,             16.6
      2019,JANUARY        ,AMTRAK                                                      ,          12,         212,              5.7
      2019,JANUARY        ,Carryover/Other                                             ,           3,         212,              1.4
      2019,JANUARY        ,Crew/Engineer Availability                                  ,          10,         212,              4.7
      2019,JANUARY        ,Equipment Availability                                      ,         105,         212,             49.5
      2019,JANUARY        ,Human Factor                                                ,           1,         212,               .5
      2019,JANUARY        ,Mechanical                                                  ,          55,         212,             25.9
      2019,JANUARY        ,Technologies                                                ,          10,         212,              4.7
      2019,JANUARY        ,Unpreventable                                               ,          16,         212,              7.5
      2019,JULY           ,AMTRAK                                                      ,          29,         450,              6.4
      2019,JULY           ,Crew/Engineer Availability                                  ,         146,         450,             32.4
      2019,JULY           ,Equipment Availability                                      ,          61,         450,             13.6
      2019,JULY           ,Human Factor                                                ,          12,         450,              2.7
      2019,JULY           ,Infrastructure Engineering                                  ,           2,         450,               .4
      2019,JULY           ,Mechanical                                                  ,          91,         450,             20.2
      2019,JULY           ,Other Railroads                                             ,           5,         450,              1.1
      2019,JULY           ,Technologies                                                ,          13,         450,              2.9
      2019,JULY           ,Unpreventable                                               ,          91,         450,             20.2
      2019,JUNE           ,AMTRAK                                                      ,          35,         406,              8.6
      2019,JUNE           ,Crew/Engineer Availability                                  ,         262,         406,             64.5
      2019,JUNE           ,Equipment Availability                                      ,          25,         406,              6.2
      2019,JUNE           ,Human Factor                                                ,           8,         406,                2
      2019,JUNE           ,Infrastructure Engineering                                  ,           1,         406,               .2
      2019,JUNE           ,Mechanical                                                  ,          42,         406,             10.3
      2019,JUNE           ,Technologies                                                ,           6,         406,              1.5
      2019,JUNE           ,Unpreventable                                               ,          27,         406,              6.7
      2019,MARCH          ,AMTRAK                                                      ,          40,         189,             21.2
      2019,MARCH          ,Carryover/Other                                             ,           3,         189,              1.6
      2019,MARCH          ,Crew/Engineer Availability                                  ,          58,         189,             30.7
      2019,MARCH          ,Equipment Availability                                      ,          15,         189,              7.9
      2019,MARCH          ,Human Factor                                                ,           7,         189,              3.7
      2019,MARCH          ,Infrastructure Engineering                                  ,           4,         189,              2.1
      2019,MARCH          ,Mechanical                                                  ,          35,         189,             18.5
      2019,MARCH          ,Other                                                       ,           1,         189,               .5
      2019,MARCH          ,Other Railroads                                             ,           7,         189,              3.7
      2019,MARCH          ,Technologies                                                ,          14,         189,              7.4
      2019,MARCH          ,Unpreventable                                               ,           5,         189,              2.6
      2019,MAY            ,AMTRAK                                                      ,          10,         229,              4.4
      2019,MAY            ,Carryover/Other                                             ,           3,         229,              1.3
      2019,MAY            ,Crew/Engineer Availability                                  ,          94,         229,               41
      2019,MAY            ,Equipment Availability                                      ,          28,         229,             12.2
      2019,MAY            ,Human Factor                                                ,           7,         229,              3.1
      2019,MAY            ,Infrastructure Engineering                                  ,           4,         229,              1.7
      2019,MAY            ,Mechanical                                                  ,          36,         229,             15.7
      2019,MAY            ,Other Railroads                                             ,           8,         229,              3.5
      2019,MAY            ,Technologies                                                ,          13,         229,              5.7
      2019,MAY            ,Unpreventable                                               ,          26,         229,             11.4
      2019,NOVEMBER       ,AMTRAK                                                      ,          10,         244,              4.1
      2019,NOVEMBER       ,Crew/Engineer Availability                                  ,         117,         244,               48
      2019,NOVEMBER       ,Equipment Availability                                      ,          13,         244,              5.3
      2019,NOVEMBER       ,Human Factor                                                ,           6,         244,              2.5
      2019,NOVEMBER       ,Mechanical                                                  ,          38,         244,             15.6
      2019,NOVEMBER       ,Other Railroads                                             ,           2,         244,               .8
      2019,NOVEMBER       ,Technologies                                                ,          14,         244,              5.7
      2019,NOVEMBER       ,Unpreventable                                               ,          44,         244,               18
      2019,OCTOBER        ,AMTRAK                                                      ,          10,         215,              4.7
      2019,OCTOBER        ,Carryover/Other                                             ,           1,         215,               .5
      2019,OCTOBER        ,Crew/Engineer Availability                                  ,          67,         215,             31.2
      2019,OCTOBER        ,Equipment Availability                                      ,           5,         215,              2.3
      2019,OCTOBER        ,Human Factor                                                ,          18,         215,              8.4
      2019,OCTOBER        ,Infrastructure Engineering                                  ,           4,         215,              1.9
      2019,OCTOBER        ,Mechanical                                                  ,          48,         215,             22.3
      2019,OCTOBER        ,Other Railroads                                             ,          20,         215,              9.3
      2019,OCTOBER        ,Technologies                                                ,          10,         215,              4.7
      2019,OCTOBER        ,Unpreventable                                               ,          32,         215,             14.9
      2019,SEPTEMBER      ,AMTRAK                                                      ,           1,         307,               .3
      2019,SEPTEMBER      ,Carryover/Other                                             ,           2,         307,               .7
      2019,SEPTEMBER      ,Crew/Engineer Availability                                  ,         182,         307,             59.3
      2019,SEPTEMBER      ,Equipment Availability                                      ,          12,         307,              3.9
      2019,SEPTEMBER      ,Human Factor                                                ,          23,         307,              7.5
      2019,SEPTEMBER      ,Infrastructure Engineering                                  ,           2,         307,               .7
      2019,SEPTEMBER      ,Mechanical                                                  ,          43,         307,               14
      2019,SEPTEMBER      ,Other Railroads                                             ,           1,         307,               .3
      2019,SEPTEMBER      ,Technologies                                                ,          21,         307,              6.8
      2019,SEPTEMBER      ,Unpreventable                                               ,          20,         307,              6.5
      2020,APRIL          ,AMTRAK                                                      ,           1,         390,               .3
      2020,APRIL          ,Carryover/Other                                             ,           1,         390,               .3
      2020,APRIL          ,Crew/Engineer Availability                                  ,         309,         390,             79.2
      2020,APRIL          ,Human Factor                                                ,           3,         390,               .8
      2020,APRIL          ,Infrastructure Engineering                                  ,           6,         390,              1.5
      2020,APRIL          ,Mechanical                                                  ,          13,         390,              3.3
      2020,APRIL          ,Other                                                       ,          16,         390,              4.1
      2020,APRIL          ,Other Railroads                                             ,           5,         390,              1.3
      2020,APRIL          ,Technologies                                                ,           3,         390,               .8
      2020,APRIL          ,Unpreventable                                               ,          33,         390,              8.5
      2020,AUGUST         ,Carryover/Other                                             ,           1,        1217,               .1
      2020,AUGUST         ,Crew/Engineer Availability                                  ,         274,        1217,             22.5
      2020,AUGUST         ,Equipment Availability                                      ,          17,        1217,              1.4
      2020,AUGUST         ,Human Factor                                                ,           8,        1217,               .7
      2020,AUGUST         ,Infrastructure Engineering                                  ,          10,        1217,               .8
      2020,AUGUST         ,Mechanical                                                  ,          74,        1217,              6.1
      2020,AUGUST         ,Technologies                                                ,          18,        1217,              1.5
      2020,AUGUST         ,Unpreventable                                               ,         815,        1217,               67
      2020,DECEMBER       ,AMTRAK                                                      ,           9,         543,              1.7
      2020,DECEMBER       ,Crew/Engineer Availability                                  ,          37,         543,              6.8
      2020,DECEMBER       ,Equipment Availability                                      ,          78,         543,             14.4
      2020,DECEMBER       ,Human Factor                                                ,          18,         543,              3.3
      2020,DECEMBER       ,Mechanical                                                  ,         104,         543,             19.2
      2020,DECEMBER       ,Other Railroads                                             ,           4,         543,               .7
      2020,DECEMBER       ,Technologies                                                ,          31,         543,              5.7
      2020,DECEMBER       ,Unpreventable                                               ,         262,         543,             48.3
      2020,FEBRUARY       ,AMTRAK                                                      ,          80,         186,               43
      2020,FEBRUARY       ,Crew/Engineer Availability                                  ,           3,         186,              1.6
      2020,FEBRUARY       ,Equipment Availability                                      ,           4,         186,              2.2
      2020,FEBRUARY       ,Human Factor                                                ,          11,         186,              5.9
      2020,FEBRUARY       ,Mechanical                                                  ,          43,         186,             23.1
      2020,FEBRUARY       ,Other Railroads                                             ,           1,         186,               .5
      2020,FEBRUARY       ,Technologies                                                ,          12,         186,              6.5
      2020,FEBRUARY       ,Unpreventable                                               ,          32,         186,             17.2
      2020,JANUARY        ,AMTRAK                                                      ,           7,         243,              2.9
      2020,JANUARY        ,Crew/Engineer Availability                                  ,          37,         243,             15.2
      2020,JANUARY        ,Equipment Availability                                      ,          25,         243,             10.3
      2020,JANUARY        ,Human Factor                                                ,           8,         243,              3.3
      2020,JANUARY        ,Infrastructure Engineering                                  ,          12,         243,              4.9
      2020,JANUARY        ,Mechanical                                                  ,          75,         243,             30.9
      2020,JANUARY        ,Other                                                       ,          23,         243,              9.5
      2020,JANUARY        ,Technologies                                                ,          11,         243,              4.5
      2020,JANUARY        ,Unpreventable                                               ,          45,         243,             18.5
      2020,JULY           ,AMTRAK                                                      ,          73,         700,             10.4
      2020,JULY           ,Crew/Engineer Availability                                  ,         253,         700,             36.1
      2020,JULY           ,Equipment Availability                                      ,          62,         700,              8.9
      2020,JULY           ,Human Factor                                                ,           7,         700,                1
      2020,JULY           ,Infrastructure Engineering                                  ,          98,         700,               14
      2020,JULY           ,Mechanical                                                  ,          81,         700,             11.6
      2020,JULY           ,Other Railroads                                             ,          11,         700,              1.6
      2020,JULY           ,Technologies                                                ,          12,         700,              1.7
      2020,JULY           ,Unpreventable                                               ,         103,         700,             14.7
      2020,JUNE           ,AMTRAK                                                      ,           4,         126,              3.2
      2020,JUNE           ,Crew/Engineer Availability                                  ,          58,         126,               46
      2020,JUNE           ,Human Factor                                                ,           4,         126,              3.2
      2020,JUNE           ,Mechanical                                                  ,          14,         126,             11.1
      2020,JUNE           ,Other                                                       ,           6,         126,              4.8
      2020,JUNE           ,Other Railroads                                             ,           9,         126,              7.1
      2020,JUNE           ,Technologies                                                ,           9,         126,              7.1
      2020,JUNE           ,Unpreventable                                               ,          22,         126,             17.5
      2020,MARCH          ,AMTRAK                                                      ,          64,         270,             23.7
      2020,MARCH          ,Crew/Engineer Availability                                  ,          89,         270,               33
      2020,MARCH          ,Equipment Availability                                      ,           9,         270,              3.3
      2020,MARCH          ,Human Factor                                                ,          12,         270,              4.4
      2020,MARCH          ,Infrastructure Engineering                                  ,           4,         270,              1.5
      2020,MARCH          ,Mechanical                                                  ,          45,         270,             16.7
      2020,MARCH          ,Other                                                       ,          11,         270,              4.1
      2020,MARCH          ,Other Railroads                                             ,           9,         270,              3.3
      2020,MARCH          ,Technologies                                                ,          22,         270,              8.1
      2020,MARCH          ,Unpreventable                                               ,           5,         270,              1.9
      2020,MAY            ,Crew/Engineer Availability                                  ,         244,         299,             81.6
      2020,MAY            ,Equipment Availability                                      ,           6,         299,                2
      2020,MAY            ,Human Factor                                                ,           5,         299,              1.7
      2020,MAY            ,Infrastructure Engineering                                  ,           5,         299,              1.7
      2020,MAY            ,Mechanical                                                  ,          18,         299,                6
      2020,MAY            ,Technologies                                                ,           1,         299,               .3
      2020,MAY            ,Unpreventable                                               ,          20,         299,              6.7
      2020,NOVEMBER       ,AMTRAK                                                      ,           3,         431,               .7
      2020,NOVEMBER       ,Carryover/Other                                             ,           1,         431,               .2
      2020,NOVEMBER       ,Crew/Engineer Availability                                  ,          85,         431,             19.7
